title,company,location,snippet,link,source
AI Engineer Fokus Large Language Models (w/m/d),PwC Germany,Deutschland,AI-Engineering – Du implementierst KI-Systeme für die verschiedensten produktiven Anwendungsszenarien im Bereich von Large Language Models in der öffentlichen…,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdBDDZRiaAAF9R4UsJ5vBsTQaXwgomW0LqESslHN0QB7wW0EqxQIyiCB4C9IWQCDtx2fYVT5VHH6-bZ47gdkvFk4FDY2eN89Sn9FtTrJUx9lbqAgUdvPaz2DepT0prHflsVIJ7x7-HMtuNjvHo_m_GVvaa1vEGQLc8U55l_yywEfKkQjidHT_lQIiEdXCNiQg1MAMemNAmpzBJSMnv2y8D3PpvqHWKfnJDOw_OmGPtv_gkO74Dlrr3NgI5IMTdQVhGvYoWwIueCSVp7BppvWO16ubTOEZnZcbo7g1HsbfN_QrR699hD4MReaKF9XGYZjS8Iu_kEvzl-e9cm9s69TsmPbIL2-HlqnJBz18a8IlHn3YrJQ-w1XFQvSHYjDT09Q819mLPv2EAZZRcLYhpvFVc-z1viunav0Idou8SeQn8pCuNGcy4Xdeh5fSlRDLm-q6xwV4EpqqmhLmOAtv_ERc5-eDy_SJEtJ-B1sJpDItRyhEDHcSOuH42x9oeD5_VVf64TuHTOZvD_65vKapymVv5usv62byxnmlARSBKDQHPitYW85nyWvF2exbeHWYehWXrwQeYD03n-Au6KgSFMdYqlC08Im6QaPi8bECdacKsfriyPgIHXhxt3twZTcaMf_FuFiBhN-j3AlE5nobICttBAi54fBUoyarJeaccrBvdYDg2tAMlBlUmY79CiSTvWriB5HWRVnr2rNDXVQzHkwA_6AkLyrReE4Vpc0I7_rjVywcqdpyAhyoWLST6i4rBfF8tqVPAf4vVQoZH7augHWprxXefNhEF_hJsKKE826e4y-O6fwmt_FrJjfSvqvJMiVOGOpmpczrIhJOcBu5cWH0ks0C01KM56SlTn1D71knCB9r_S8u0AQcgI4XNk6gfZbzD41glnH-JnFb2g8guaRWYnyEI2y1PidzGjAPBjuO72mAMXwkchfQqET0qZ97lyERbByNBrcP_bswB5Fl_GUmusBnzzhxNMycDPG4ytt2_10xB3PbkqkK4E_qSdgYxePk=&xkcb=SoAZ6_M3yiMUPsQkpx0LbzkdCdPP&camk=xqnMBGaf-K9KqoMDjx_F7Q==&p=0&fvj=0&vjs=3,html_fallback
"AI Engineer, Germany - BCG X",Boston Consulting Group,Berlin,Apply software development practices and standards to develop robust and maintainable software. Experienced at guiding non-technical teams and consultants in…,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JM6xIDFhe-9PMmhBQaLSbV8riKJqEfqrb4Pag173DAL05VJ2dhLicU7YP_mqgsQ4c2isO6QbZ4PYuB_i5yIv1l3DjSmLjZ_1jUYwTPOubl1fi36WIECub8M6_khlvtnhqAclBTJUovl1DXOQJXFHmD2c2QNjZKej5FOsawZjOfl1ykZPrr04fSM5HuWOfWeqWjN_65Jq3qOwzwpvVLrEalGL-Mg6O1WMX-EVB4iR6APV7FpjM3D1KQ8k4bPzWLUY3KdUMg2mIrmKqhHWJDX0d45ffTbBCRi1cMVh9t6k7Fusq2z7RHbla9LCiDcbFp4O8ZmwdN_U8IDvh1rDENez-sXM6rQWDUI9CzbXXat_lEKSgMdKQJSEzxv1g_I7dQt77GPJtklCT5fMaITY799J2i4qB8el_M5BkESdzbo3VYHYhtUJwn5nqNZWRb6cu86G99ee1UQMCsGG6PbSgUFn6re8iNsBe-87xYNRQvhrOYRkRO27ol_dRKIDIz0C5ingjIqLyDUcasN3YBBksrLsEetnSxfb3oarZJYbV5M0Hq6_kDSYJ8gxWlcRjZs7C2qo_GnwpbTX1Dfexi7wJuSfgJPBq7TSTFMfLiiluSfMR2TKsqFu96LDSJcowaDiL5ZzbggH4tGkESX3bBwRJZjCSCNeuQZYavD-R2hEtGByaPw8KFWucOp6sFaIi-916T3u_lDt6NHTAt0SEhbE4Vai91IS-tEGTyu07Jt_ZhqCTNPE3Y-3i21aOsJmUmOUbLk1K4-sG81MbuUbIp0EWH3qMPT5r9M1hZbNr73Qusa8UXY4rgMRwxJWbeV_Ei_WAi7NvfUvIBLUSu3vs1sO2tr_lNu0gCNndsutp-Veo01MdWHdmiVn_8SBj2AxMmNGBWNORvMHIRrDUZuTXxTn7L2YFrpBddW03x1fGAZT-pQ4ay3MF1i6Hr8roBQCrEgn24Zvp0lsGLkix_ZoSdWYxajG8qf7lHmzgE_ogrZtMgpmprNXRB718KJ7nz8qvQriYSXONl4-6GrZhPkMnKVhkxY5vorbLLqEEDyzkqxFi6xNS82dzwDhoHXGF1R2iOw42DxrTYyBykAvA7E9L2EePEx52R680DLomy84d8U5_xCevYdv7Jo-IQvEsEE6V1s8Zsu6C_NIdQj-EKYYll_ZLLZO0mxLWX44HAF2ObAvDkPTjyznNBewLAh8AglQRcolUMEadAg9x9liM7SPi4_lX36d_3Vx1GDg_Hmeg_pjHpz0xAjO5jbjzkyJNGUZpysHZDoWKBocdWle6nWkfgMXf2qG5MROxeovp_X8rYPjvLLi9MMq6ZBDKyAUQCDB6I3yfDM201uqmpkzHF9cjEBXrm2jC_CrJGYZDFUBXw==&xkcb=SoCt6_M3yiMUPsQkpx0KbzkdCdPP&camk=ethIe0s0hee0QuwepKIS7w==&p=1&fvj=0&vjs=3,html_fallback
(Junior) Generativer KI Entwickler (m/w/d) Fokus auf Large Language Models - Profis,CHECK24 Vergleichsportal,Berlin,"Studium: Abgeschlossenes IT-Studium mit sehr guten Noten (z.B. Informatik, Wirtschaftsinformatik, Data Science o.ä.).",https://de.indeed.com/rc/clk?jk=5382cedd69ff525c&bb=20ywqUvNwU6mh-D2Uypr08yuj0pkHrN5ORgiFbTzYtriI9KOsbiJfpH2Rt9aZHM6lyJX6eb7RwITizMiE67stzkwaEmLO2x4IRui0XIKLBYUHBGAeGogAshpd0HQHT2KimPh7eOvWpQ%3D&xkcb=SoDE67M3yiMUPsQkpx0JbzkdCdPP&fccid=4c19ddb459d6e6b5&vjs=3,html_fallback
Machine Learning Engineer (m/w/d | 3+ yrs exp | End-to-End AI Projects),One Thousand GmbH,Hybrides Arbeiten in 10999 Berlin-Kreuzberg,"You will ensure our Proof-of-Concepts (PoCs) are productionized as MVPs to generate business value. You will be responsible for building data pipelines, running…",https://de.indeed.com/rc/clk?jk=070a70dcd3cc14fa&bb=20ywqUvNwU6mh-D2Uypr0y7y8ObMNd2rawZG_a7GdhatEjBtNiDLVvvsPqC_wYMGhoa1KXU8Ix8dvmpf_lrwTccw4fis1AzHCvLaP0yDw0pELmEpAHDa7XptuheqgwnaAe3RCTLCoL0%3D&xkcb=SoBw67M3yiMUPsQkpx0IbzkdCdPP&fccid=96f5cef755d07a77&vjs=3,html_fallback
Machine Learning Engineer (f/m/d) AI Automation (LLMs),BMG RIGHTS MANAGEMENT GmbH - Corporate,10117 Berlin,"Collaborate closely with product managers,engineers, and data science teams to integrateAImodels seamlessly into automation workflows.",https://de.indeed.com/rc/clk?jk=4ac01f93b794fa1c&bb=20ywqUvNwU6mh-D2Uypr02pHqLT0XepK3IL1D4TUnNbPT6ztChNNwW4jaztg4dYPfwwBzBTz_GuEw9kHUx4hxSnXAoIyOjmX3QmWa0qi-fwe5yMu0GmsxV71Nr8O4LTO8TDu5veMf7E%3D&xkcb=SoD-67M3yiMUPsQkpx0PbzkdCdPP&fccid=c4e5d8fe191698ef&vjs=3,html_fallback
"Senior Product Engineer AI (remote, UTC-3 to UTC+3)",Checkly,Homeoffice in Berlin,"Checkly helpsengineersbuild reliable products by unifying testing, monitoring and observability. We’re a remote-first startup that keeps things simple—low on…",https://de.indeed.com/rc/clk?jk=df8bb86f9474d6a1&bb=20ywqUvNwU6mh-D2Uypr0zfPu-S72lEQ--LHHXdroOBHdLCXj2TnbqFwXHhDNV4Eeq6287JV-kZIZzVk35QKbm9vQBoQ9T_Rn0FSAbVRaMwHaR44ohbdCptIvVI1XsP5wM2xdT2JYj0%3D&xkcb=SoBK67M3yiMUPsQkpx0ObzkdCdPP&fccid=ce5622cd407d2ffa&vjs=3,html_fallback
AI Engineer for OSS AI Startup,Rhesis AI GmbH,Hybrides Arbeiten in 13355 Berlin,"At RhesisAI, we empower organizations to develop and deploy GenAIapplications that meet high standards for reliability, robustness, and compliance.",https://de.indeed.com/rc/clk?jk=c975deb8d1f3127e&bb=20ywqUvNwU6mh-D2Uypr0_Wq0A6E3Kc07hMfYq-XDbHbK9MnFJBfXFuOsNsKa0JLkbqGvnRlQfSm19wNhRFqAA0U_JXbDPLMvPnhPcZlOHEUT2Y9p1z6-D7vKOCmup2nDp_EcskgiMA%3D&xkcb=SoDX67M3yiMUPsQkpx0NbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
Entrepreneurial Full Stack Hacker (with AI) OR Senior Software Engineer (m/w/d),Overfly GmbH,Hybrides Arbeiten in 10247 Berlin,Leading projects from initial concept through to production-ready apps. Choosing and evaluating the best tech stack and tools for each project.,https://de.indeed.com/rc/clk?jk=38b007dd647d2d73&bb=20ywqUvNwU6mh-D2Uypr0_qIFzKM7vYXyPeOnGoTrOySgvzpZZkSITOh0-OjXetchA41NrYuJJAqNwM54fcaYjPsDd9fMFunoqZaAEmhgMr9uBPLCSF52PNGqlkQgWkpEmfmbko-2J8%3D&xkcb=SoBj67M3yiMUPsQkpx0MbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
Full Stack Engineer - AI Software Start-up,Glorya GmbH,10178 Berlin,"3+ years of experience being a software engineer. Skills: Building full-stack web apps, Next.js, TypeScript, being up to date with the latestAIframeworks and…",https://de.indeed.com/rc/clk?jk=beed35330a92c182&bb=20ywqUvNwU6mh-D2Uypr00t1xBuG5pf2i0puULR1j_RknKnFa0_Z5LocBETU5K-_j-KEHjJBvR7Vbk9FOSJzr68lLQrGnGzL5LkMHbE1FQ5M5a9gTi8vhMpowLk6m3GlZjc8at41MqI%3D&xkcb=SoCK67M3yiMUPsQkpx0DbzkdCdPP&fccid=2d976fc3e4139511&vjs=3,html_fallback
Forward Deployed AI Engineer,juna.ai GmbH,10115 Berlin,"Our AI-based control system learns from sensor data to control complex processes in real time across industries like chemical, steel, paper, cement, and textile…",https://de.indeed.com/rc/clk?jk=fbb8f34ec8c88d29&bb=20ywqUvNwU6mh-D2Uypr09L1TEXxNH57bETOIHXYHjJOZmy9CRCWga7J9FoGfcbGDktjtNjzbUqx3cPyqLogBPtgJT6L_vFdcG0iY87rpCGCclrV0J3dDy41slkdENlwPQRlwaKOV78%3D&xkcb=SoA-67M3yiMUPsQkpx0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
