title,company,location,snippet,link,source
"AI Engineer, Germany - BCG X",Boston Consulting Group,München,Apply software development practices and standards to develop robust and maintainable software. Experienced at guiding non-technical teams and consultants in…,https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JM6xIDFhe-9PMmhBQaLSbV8riKJqEfqrb2OT661-9j6ELVhMXvFPalvqXjX8BhIocaE4PZIxlUhSGBNNMeyRku3WptS3B2Li86pRyzPO74mJoPi68zHPyeqa00BagUQVT5glctsZsSxCFImOXTJpn2Xu1-1PL8woykJ6gPJGyLDECn94WqvRmitOPKE7BrMLUAM0HnfTcjyabjscXqJJDcKFqjYlWI15arWcjv0oRE-qV_6DjAOYEHuR12Pk5iuYiQKPKkUAvjAez40mZtJxE9su8A1DX4PDnvW9CstzTBErNMxN9iudl8Y1hKwJWAek3NzIDOost5ASiBs4y2g6HoLmBkElzG9iP-eKRwvupfwFcA4BkeFBV91CcUfBzd3Vtzd7MUTmEX3wAVUHj7g5xziEU4S2m12cCX5mn0XhC9cxcIb1x4_r8CzLGsMI6qq_W_894z2C7oZfx7RdXYclNkK8TZdInhdqUi-Dkd5rEnHwllGO8IRwauvsUpTw2GJQrYPYIAL0i-fxdc4PwLPUy2WjypuPXR8RSU2zG6UUtwwgB0hX_1ku7yPrZOp1bItKuaxI3aYBoIdMd1_cHPjo9er1UIA-auHPdwRKkSjZzore65pAQRXhRpdNf-bV-0eBcLvcUfww0aiVKGyJYNcfv0G59DS45CgMlcc0BMyJ1LqpEnNRoBVdu_et9nbRxFAaufp0P8J9OUEJL8qaJBYk3hNhB3P9VqYb_qc9fRH1dyrHudjvTijHoLaHO9HwCR9BFufRAJxhSMrQJeO-3yWTu8IlYa67EVOrO0slsOTpqjOK9EwZq9xe5rGkh2zPvFkPscdfak45Afo3NFYyGlrMLuToGLphL33LqTRGvkihxuKUbFRsu1RFtgBjyJ4TvgnQy7cW2ttmCMsGwKfS88XRBIbqsqzB21R1fteXDK9M91kqR4In_BJS0ud8YN_GBsK_BAWUyBn99_hhKDU8Ee7sR0IM_q_MEMoZFQ61GJ4m9nS8coSnw3b6pH7fRmyY8r6ZjgPmC07aCryD4WgS3YDCFS8xgBvhYb_Px_858T96GvZxv0FYmCTORrdhhjbxsVztwy1MNzBBQdISY02ZPJGYLmE4ourRGP93aKGeLO5uSAN7J3Sgrv5vms0v3MimnQk46CoVZH4gsfHojN0KisGRkXEQwcUgHduaahGaiTSWzKKbycYt-03bfrVN00fw6qVeBQTwrZZUse2uFxxDjtKOjpe_bWeOF-wb4TZM-fbvtThs38faE6TaTQ2VIcfconiQjiXYgf-helIW1fR_uPyrD6ag6ljqlTiWC_gxy2cBnO0V09wqdJ6yt6LueXe0MTzlPQ==&xkcb=SoBZ6_M3y-PqbF2XSJ0LbzkdCdPP&camk=ethIe0s0hee0QuwepKIS7w==&p=0&fvj=0&vjs=3,html_fallback
Python Staff Software Engineer,Independent Recruiters,Hybrides Arbeiten in Berlin,"Act as a multiplier by mentoringengineersand introducing best practices. Collaborate with product managers, data scientists, and frontendengineersto ship…",https://de.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7B7Tvtca_LWbLo3LRq9dznpK6yYztYBRXJcub_UvMmowe7lDFHk4RlpI2vU0AWfARrF_w3G_sTMNc6QZgKSCXyu3CaQfpiMOP7f3xb0mMotSLdjzNS181KfUbxZjINlyk7k6VQ7BUm4OB_9omhEe5RSIiHzW1RDs682SuoXD_KsOcTmFquM4Ct4ACY0ljH3PdxltDniTcaG5V-fQGubLYkBPuTMBUIWNrFOUSNHpkoTLuXrXEJGETKjqLI3SXlB9zEhEw_EN8O0jqPK-mymX9kvvJCANms-nCd5a-AibTcFZfMbh8SiqHomzbyy-NswZal5cpO47LYqQTCIZdJFkCUV6G7bsAiJPDWLqBTXCiNHi4dJ1eTpqljgpqCwV9oaiy-hpHr_OeAei9FMlL3boSjJ211oEp3Q-3fK6KhDIu1sjkVDXbGzbu1cglDth3PYFVU_IGfInAlRnttLE1_bmUC6eo4d35V70Fg6KPIU93WsNVnC8Oefsx6TAU90YDwjP8H4jG0BEpnbHE6EHlwZzdGM6OJ6leNgzqJ5RYmCNXgV77WXz0JEiabawYekG7OkJQlDoguwCl4dS7Dviyyn3a7SXuYSByUYh6c2tWudEJhEsVR94WyN4EC_saRYmKFP_mqglXRl1HD7MRWilnEYuxq_ffriX12Ujd_qgiWkdKeOTUxfTTvxUAArUx31UiuVklNcnTdRQkx9s-r8W6IZ1VBIw_fUGWTtqjag8LKyO-9M9tV_FPCduNZ-FpNw2FG6GP_jyGJ7U2QGGBEViux7hW9RL8S7ediItETSneM8VV7ngxVI1mJn5hzsxnoDmSoNi8QERyEnbkXfxy7-owJwhn9yWlyZBTiJpnm96H7wmyCPgbwh-lqeGNJIYSP1uiFWiBjpDfiWAqhi7LTHxD9LfNzrV77fYXeroBR2in4VSifA==&xkcb=SoDt6_M3y-PqbF2XSJ0KbzkdCdPP&camk=f416UQcMBpDl4S4XyoZThg==&p=1&fvj=0&vjs=3,html_fallback
"Senior Frontend Engineer at TextCortex AI (Berlin, On-Site)",Text Cortex AI UG (haftungsbeschränkt),10115 Berlin,Cross-Stack Collaboration: Collaborate with backendengineersto integrate APIs seamlessly and influence overall architecture.,https://de.indeed.com/rc/clk?jk=a71ef604e3368a0a&bb=qMDS3H9FzmSutUFHJHLTnxwwVzZhEqcqkp3YxZhXCE3zMN0Y28_hUh4OEtYlbQ424GhlSa0ME5sb2ttsm4Q9DaLlgpuKNgc4DK-iUDQm107RmzCNe4F1rZ2OPKjZkRTp4-g8oDKgKF8%3D&xkcb=SoCE67M3y-PqbF2XSJ0JbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,html_fallback
(Senior) AI Engineer (m/f/d),samedi GmbH,10115 Berlin,"Ideate andengineerAI-based products and solutions, pushing projects from conception to delivery. Collaborate with data scientists, softwareengineers, and…",https://de.indeed.com/rc/clk?jk=c83a66bf287b8163&bb=qMDS3H9FzmSutUFHJHLTn_k8oB3Lk72iVl-jZl2aZJAZOoOZKzns7myM6R8Wb3Lg-PkVpjiH2uQfpSE-_WS7AzbCh32zguuq2xyWQic6I2FjCA-1WHlvseCXlwxk2D3RKJhvwcAp5eA%3D&xkcb=SoAw67M3y-PqbF2XSJ0IbzkdCdPP&fccid=4ccdba94a44988e6&vjs=3,html_fallback
Mechanical Engineer,Sensmore,Potsdam,"Engage with top-tier researchers,engineers, and thought leaders. Design mechanical systems and components for AI-driven robots.",https://de.indeed.com/rc/clk?jk=5ceee7302911b9f5&bb=qMDS3H9FzmSutUFHJHLTn8SR0oEZySClOjwaZ_EX6zyrSiSGf2SF6ntf1SIDjph_RQq4SZcNrUY7jGZ4b27dFHVWDSxK1kWGCjXRZKd5X-QfAHpPcYv21bbyByw4duRHJvUssScV0Ew%3D&xkcb=SoC-67M3y-PqbF2XSJ0PbzkdCdPP&fccid=c1fcc9db35488174&vjs=3,html_fallback
Machine Learning Engineer (f/m/d) AI Automation (LLMs),BMG RIGHTS MANAGEMENT GmbH - Corporate,10117 Berlin,"Collaborate closely with product managers,engineers, and data science teams to integrateAImodels seamlessly into automation workflows.",https://de.indeed.com/rc/clk?jk=4ac01f93b794fa1c&bb=qMDS3H9FzmSutUFHJHLTn6Y8_vtZFPKgNt4f2MvkYOUazBSzIz0EugBkDeUctLv8fmd0m7hBu59FWwwX5VUm0LOdJiw6jEzgNZLFs9pqBqMZMzmt4FVVVg0kL7wX-labg4uY8umQ3I0%3D&xkcb=SoAK67M3y-PqbF2XSJ0ObzkdCdPP&fccid=c4e5d8fe191698ef&vjs=3,html_fallback
AI Engineer (m/w/d) Schwerpunkt RAG,DOS Software-Systeme GmbH,Hybrides Arbeiten in 38446 Wolfsburg,Zur Verstärkung unseres Data Science Teams suchen wir Dich ab sofort als AIEngineeram Standort Wolfsburg.,https://de.indeed.com/rc/clk?jk=9e5c7197e47a29c4&bb=qMDS3H9FzmSutUFHJHLTn--VSp2DVf03340yFu72otMThg54Mcgm6cPUHs-Ee2u2tFWtYbIH34_JesfXXKqNgHUu83Suvlxj319QJuwJwlEbH3wYBsXv5y-nqUPpKOV0hTyPSzIj5dU%3D&xkcb=SoCX67M3y-PqbF2XSJ0NbzkdCdPP&fccid=63f0aba2666b3202&cmp=DOS-Software--Systeme-GmbH&ti=Ingenieur&vjs=3,html_fallback
Installation Engineer - Graduate Program - 2025,Applied Materials,01097 Dresden,"Test equipment with assistance from seniorengineers, existing documentation and diagnostic techniques. Upon completion of your training, you will be based in…",https://de.indeed.com/rc/clk?jk=2bd5076e322a06d3&bb=qMDS3H9FzmSutUFHJHLTnzRT6-7viWLcPj-I9n_6BX27QIOeOtFbPa5XvdKWvJa6n5c--7zVUP3477VuJt0_dswP_x1i2Z9-iIHXQsJqch0q4PXZ38pPcFB9cyk9LhXabbzv710i1aQ%3D&xkcb=SoAj67M3y-PqbF2XSJ0MbzkdCdPP&fccid=6c6f37e2a6cb4c55&vjs=3,html_fallback
AI Processor Design Engineer,DigitalTwin Technology GmbH,Hybrides Arbeiten in 50667 Köln,"Architect, design, and optimize AI-specific processor cores and accelerators. Develop and extend Instruction Set Architecture (ISA) forAIworkloads.",https://de.indeed.com/rc/clk?jk=82d9ab6e85f75f14&bb=qMDS3H9FzmSutUFHJHLTn3FMW5llKt07mHQpvAvn-Mh6f-o_ZaQtQ0pIQgaPTef3N3GO39gkMK9RoYRyYWfCO0aELhRw51qWuNNLCBcKDE4XBlKXqiqZcOeVEl9HQ5gR7ntaiq6PwZs%3D&xkcb=SoDK67M3y-PqbF2XSJ0DbzkdCdPP&fccid=07accc465a982154&vjs=3,html_fallback
Mechanical Engineer,Sereact GmbH,Hybrides Arbeiten in Stuttgart,We are looking for a talented mechanicalengineerto design innovative systems and components for AI-driven robots.,https://de.indeed.com/rc/clk?jk=e5b49a4170223194&bb=qMDS3H9FzmSutUFHJHLTn3EXhm1Rz6qi-raXOVfPmH3E03lSqr5daMKf3x3LSXHBGcflmBU-aVMIyi2Azob_NGWpcws5G538-fbI35ttgcFC9yE2w60vU7GSMUGYWsbXoQJLaOgu86I%3D&xkcb=SoB-67M3y-PqbF2XSJ0CbzkdCdPP&fccid=a05f5288733f8a4c&vjs=3,html_fallback
